Year,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%
2001,1,15,27,55.6,221,1,3.7,0,0
2002,16,320,526,60.8,3284,17,3.2,16,3
2003,11,205,356,57.6,2108,11,3.1,15,4.2
2004,15,262,400,65.5,3159,27,6.8,7,1.8
2005,16,323,500,64.6,3576,24,4.8,15,3
2006,16,356,554,64.3,4418,26,4.7,11,2
2007,16,440,652,67.5,4423,28,4.3,18,2.8
2008,16,413,635,65,5069,34,5.4,17,2.7
2009,15,363,514,70.6,4388,34,6.6,11,2.1
2010,16,448,658,68.1,4620,33,5,22,3.3
2011,16,468,657,71.2,5476,46,7,14,2.1
2012,16,422,670,63,5177,43,6.4,19,2.8
2013,16,446,650,68.6,5162,39,6,12,1.8
2014,16,456,659,69.2,4952,33,5,17,2.6
2015,15,428,627,68.3,4870,32,5.1,11,1.8
2016,16,471,673,70,5208,37,5.5,15,2.2
2017,16,386,536,72,4334,23,4.3,8,1.5
