Year,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,,,,,,,,,,,,,,,
1998,326,575,56.7,3739,26,4.5,28,4.9,,,,,,,,,,,,,,,
1999,331,533,62.1,4135,26,4.9,15,2.8,,,,,,,,,,,,,,,
2000,357,571,62.5,4413,33,5.8,15,2.6,,,,,,,,,,,,,,,
2001,343,547,62.7,4131,26,4.8,23,4.2,,,,,,,,,,,,,,,
2002,392,591,66.3,4200,27,4.6,19,3.2,,,,,,,,,,,,,,,
2003,379,566,67,4267,29,5.1,10,1.8,,,,,,,,,,,,,,,
2004,336,497,67.6,4557,49,9.9,10,2,,,,,,,,,,,,,,,
2005,305,453,67.3,3747,28,6.2,10,2.2,,,,,,,,,,,,,,,
2006,362,557,65,4397,31,5.6,9,1.6,,,,,,,,,,,,,,,
2007,337,515,65.4,4040,31,6,14,2.7,,,,,,,,,,,,,,,
2008,371,555,66.8,4002,27,4.9,12,2.2,,,,,,,,,,,,,,,
2009,393,571,68.8,4500,33,5.8,16,2.8,,,,,,,,,,,,,,,
2010,450,679,66.3,4700,33,4.9,17,2.5,,,,,,,,,,,,,,,
2012,400,583,68.6,4659,37,6.3,11,1.9,,,,,,,,,,,,,,,
2013,450,659,68.3,5477,55,8.3,10,1.5,,,,,,,,,,,,,,,
2014,395,597,66.2,4727,39,6.5,15,2.5,,,,,,,,,,,,,,,
2015,198,331,59.8,2249,9,2.7,17,5.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
