State Name,Number of NFL Teams,Region
Alabama,0,Southeast
Alaska,0,Pacific
Arizona,1,Southwest
Arkansas,0,Southeast
California,4,Pacific
Colorado,1,Mountain
Connecticut,0,Northeast
Delaware,0,Southeast
Florida,3,Southeast
Georgia,1,Southeast
Hawaii,0,Pacific
Idaho,0,Mountain
Illinois,1,Midwest
Indiana,1,Midwest
Iowa,0,Midwest
Kansas,0,Midwest
Kentucky,0,Southeast
Louisiana,1,Southeast
Maine,0,Northeast
Maryland,2,Southeast
Massachusetts,1,Northeast
Michigan,1,Midwest
Minnesota,1,Midwest
Mississippi,0,Southeast
Missouri,1,Midwest
Montana,0,Mounitain
Nebraska,0,Midwest
Nevada,0,Mountain
New Hampshire,0,Northeast
New Jersey,2,Northeast
New Mexico,0,Southwest
New York,1,Northeast
North Carolina,1,Southeast
North Dakota,0,Midwest
Ohio,2,Midwest
Oklahoma,0,Southwest
Oregon,0,Pacific
Pennsylvania,2,Northeast
Rhode Island,0,Northeast
South Carolina,0,Southeast
South Dakota,0,Midwest
Tennessee,1,Southeast
Texas,2,Southwest
Utah,0,Mountain
Vermont,0,Northeast
Virginia,0,Southeast
Washington,1,Pacific
West Virginia,0,Southeast
Wisconsin,1,Midwest
Wyoming,0,Mountain
